id,common_name,common_lat,common_long
3,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954
4,Cyril Magnin St at Ellis St,37.78588062694133,-122.4089150084319
5,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392
6,The Embarcadero at Sansome St,37.80477,-122.403234
7,Frank H Ogawa Plaza,37.8045623549303,-122.27173805236816
8,The Embarcadero at Vallejo St,37.799953,-122.398525
9,Broadway at Battery St,37.79857210846256,-122.40086898207666
10,Washington St at Kearny St,37.79539293725452,-122.4047702550888
11,Davis St at Jackson St,37.79728,-122.398436
13,Commercial St at Montgomery St,37.794231,-122.402923
14,Clay St at Battery St,37.795001,-122.39997
15,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203
16,Steuart St at Market St,37.79413,-122.39443
17,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086
18,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596
19,Post St at Kearny St,37.788975,-122.403452
20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051
21,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811
22,Howard St at Beale St,37.789756,-122.394643
23,The Embarcadero at Steuart St,37.791464,-122.391034
24,Spear St at Folsom St,37.7896767,-122.3904285
25,Howard St at 2nd St,37.787521780456245,-122.39740490913393
26,1st St at Folsom St,37.78729,-122.39438
27,Beale St at Harrison St,37.7880593,-122.3918648
28,The Embarcadero at Bryant St,37.78716801474664,-122.38809792330358
29,O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323337
30,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282
31,Raymond Kimbell Playground,37.78381270927812,-122.4345588684082
33,Golden Gate Ave at Hyde St,37.7816495,-122.4154077
34,Father Alfred E Boeddeker Park,37.7839879,-122.412408
35,Cahill Park,37.32911866814779,-121.90457582473756
36,Folsom St at 3rd St,37.78383,-122.39887
37,2nd St at Folsom St,37.78499972833808,-122.39593561749642
39,Scott St at Golden Gate Ave,37.7789994,-122.4368608
40,Laguna St at McAllister St,37.7792082,-122.4268287
41,Golden Gate Ave at Polk St,37.78127,-122.41874
42,San Francisco City Hall (Polk St at Grove St),37.77865,-122.41823
43,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292
44,Civic Center/UN Plaza BART Station (Market St at McAllister St),37.7810737,-122.4117382
45,5th St at Howard St,37.781752,-122.405127
46,San Antonio Park,37.79013985185364,-122.24237322807312
47,4th St at Harrison St,37.78095459960753,-122.39974915981291
48,2nd St at S Park St,37.782411189735896,-122.39270595839116
49,S Park St at 3rd St,37.7807601,-122.3949894
50,2nd St at Townsend St - Coming Soon,37.780526,-122.390288
52,McAllister St at Baker St,37.7774157,-122.4418376
53,Grove St at Divisadero,37.775946,-122.4377775
55,Webster St at Grove St,37.7770527,-122.4295585
56,Koshland Park,37.77341396997343,-122.427316904068
58,Market St at 10th St,37.776619,-122.417385
59,S Van Ness Ave at Market St,37.774814,-122.418954
60,8th St at Ringold St,37.77452040113685,-122.4094493687153
61,Howard St at 8th St,37.7765126,-122.4113061
62,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352
63,Bryant St at 6th St,37.775910222333366,-122.40257500673576
64,5th St at Brannan St,37.7767539,-122.3990176
66,3rd St at Townsend St,37.77874161153677,-122.39274082710836
67,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263
